time,flexion_tronco,flexion_brazo,flexion_muneca,Puntos_Brazo,Puntos_Muneca,Puntos_Tronco,RULA_Final
0.0,0.0559262861088996,0.009606404464364005,-0.13610136267556072,1,1,1,4
0.0167,0.04417147151380618,-0.002702368095043539,-0.11053580677412356,1,1,1,4
0.0333,0.025381554377162274,-0.005135206373410028,-0.07737731765007538,1,1,1,4
0.05,0.02032217722103269,-0.0012991031456976998,-0.05106395138554376,1,1,1,4
0.0667,0.016760827760407437,0.0020324154289994567,-0.024078967124239625,1,1,1,4
0.0833,0.0026974925820297813,0.006957534877670923,0.0064770562275953125,1,1,1,4
0.1,-0.01241117432300598,0.005380323016282773,0.03653754205561199,1,1,1,4
0.1167,-0.032346630351383965,0.0020261131595873394,0.07294177310936334,1,1,1,4
0.1333,-0.051184240258265845,-0.005963514552547622,0.11696400281709884,1,1,1,4
0.15,-0.06931776463079586,-0.010902598780262451,0.16623703139984514,1,1,1,4
0.1667,-0.09102482967674064,-0.0063172739293975155,0.20449599480812708,1,1,1,4
0.1833,-0.10851276339607807,0.002775330216564953,0.22761895745577476,1,1,1,4
0.2,-0.12684187916622136,0.013616113215221048,0.227062293458971,1,1,1,4
0.2167,-0.14816993827872693,0.024537751970910904,0.2183794662530829,1,1,1,4
0.2333,-0.17080547865299422,0.03418155676081369,0.21243005947087568,1,1,1,4
0.25,-0.19363607495665747,0.05067245487336436,0.21931416798608439,1,1,1,4
0.2667,-0.20615021497940234,0.07140207577862157,0.23629057380102836,1,1,1,4
0.2833,-0.21735043023045364,0.09076028535500313,0.25760097803544113,1,1,1,4
0.3,-0.22441627352608862,0.10665976138011501,0.2627979565908447,1,1,1,4
0.3167,-0.22675892433446165,0.10512030646140147,0.26555140513227116,1,1,1,4
0.3333,-0.22648215824668227,0.10025332913596685,0.26148397564361403,1,1,1,4
0.35,-0.22224858719090435,0.0941943155073659,0.26540738815592135,1,1,1,4
0.3667,-0.22063258300858024,0.09856075978575518,0.2736231437442598,1,1,1,4
0.3833,-0.22063530974023138,0.10782763078327662,0.28697016547684484,1,1,1,4
0.4,-0.22039010099410916,0.11749625320567247,0.29887147192866337,1,1,1,4
0.4167,-0.2229058597723963,0.13018657310828985,0.30816472333609113,1,1,1,4
0.4333,-0.22782843652717588,0.137879267574192,0.31215097482979104,1,1,1,4
0.45,-0.22750384777805266,0.13107759068444125,0.3128098213589965,1,1,1,4
0.4667,-0.2223142459081373,0.1136411681387699,0.3155223748691185,1,1,1,4
0.4833,-0.209808174398745,0.0935270191730524,0.31704104460601457,1,1,1,4
0.5,-0.19917857892815505,0.072640373162983,0.3168148252966603,1,1,1,4
0.5167,-0.198212876279797,0.05075070463226439,0.3195441663383747,1,1,1,4
0.5333,-0.20735506359599754,0.0368256523771322,0.3244650492115966,1,1,1,4
0.55,-0.22299894982253932,0.026013141838120646,0.3314349162105259,1,1,1,4
0.5667,-0.24339260143682395,0.018476592323850127,0.34037468219059974,1,1,1,4
0.5833,-0.2595243423769489,0.011921958084371909,0.34939925577501185,1,1,1,4
0.6,-0.2701866393490775,0.008908986914747175,0.3618961125431781,1,1,1,4
0.6167,-0.27796782272247356,0.008371855026325647,0.3751634052148347,1,1,1,4
0.6333,-0.2902004452199094,0.010920446794216332,0.38560736415752217,1,1,1,4
0.65,-0.3095244742751788,0.01511778266416286,0.3981371664975484,1,1,1,4
0.6667,-0.3187693860562888,0.015946388335208894,0.4089312552834201,1,1,1,4
0.6833,-0.32064198261639376,0.016889931263222024,0.4175814386496768,1,1,1,4
0.7,-0.31503654490526856,0.014889630079466087,0.4160164954312222,1,1,1,4
0.7167,-0.31506485537843787,0.0160088904343354,0.41767735028264497,1,1,1,4
0.7333,-0.3160349780238505,0.01904807644251605,0.417393365079306,1,1,1,4
0.75,-0.32322429278556797,0.027384145962685125,0.42615846331850094,1,1,1,4
